,date,cases,recovery_total,certificate
0,2020/05/09,6250.0,8276.0,442.0
1,2020/05/10,6074.0,8514.0,422.0
2,2020/05/11,5914.0,8903.0,247.0
3,2020/05/12,5162.0,9851.0,174.0
4,2020/05/13,4732.0,10321.0,169.0
5,2020/05/14,4339.0,10792.0,182.0
6,2020/05/15,4025.0,11136.0,181.0
7,2020/05/16,3787.0,11398.0,184.0
8,2020/05/17,3667.0,11547.0,169.0
9,2020/05/18,3400.0,11867.0,164.0
10,2020/05/19,3009.0,12269.0,165.0
11,2020/05/20,2799.0,12655.0,24.0
12,2020/05/21,2495.0,12988.0,64.0
13,2020/05/22,2293.0,13227.0,36.0
14,2020/05/23,2130.0,13396.0,31.0
15,2020/05/24,2111.0,13446.0,20.0
16,2020/05/25,1939.0,13643.0,20.0
17,2020/05/26,1788.0,13806.0,21.0
18,2020/05/27,1637.0,13979.0,19.0
19,2020/05/28,1556.0,14085.0,21.0
20,2020/05/29,1466.0,14237.0,22.0
21,2020/05/30,1452.0,14290.0,21.0
22,2020/05/31,1436.0,14333.0,22.0
23,2020/06/01,1341.0,14481.0,12.0
24,2020/06/02,1272.0,14605.0,12.0
25,2020/06/03,1207.0,14690.0,12.0
26,2020/06/04,1141.0,14795.0,12.0
27,2020/06/05,1064.0,14901.0,12.0
28,2020/06/06,1042.0,14961.0,11.0
29,2020/06/07,1060.0,14970.0,11.0
30,2020/06/08,1028.0,15035.0,12.0
31,2020/06/09,965.0,15120.0,12.0
32,2020/06/10,923.0,15200.0,12.0
33,2020/06/11,854.0,15308.0,10.0
34,2020/06/12,810.0,15395.0,9.0
35,2020/06/13,801.0,15451.0,6.0
36,2020/06/14,819.0,15493.0,5.0
37,2020/06/15,871.0,15508.0,9.0
38,2020/06/16,760.0,15657.0,6.0
39,2020/06/17,712.0,15737.0,7.0
40,2020/06/18,707.0,15811.0,7.0
41,2020/06/19,677.0,15880.0,7.0
42,2020/06/20,711.0,15911.0,6.0
43,2020/06/21,732.0,15936.0,5.0
44,2020/06/22,706.0,16007.0,7.0
45,2020/06/23,698.0,16058.0,8.0
46,2020/06/24,713.0,16116.0,10.0
47,2020/06/25,727.0,16188.0,7.0
48,2020/06/26,757.0,16248.0,8.0
49,2020/06/27,790.0,16301.0,8.0
50,2020/06/28,822.0,16353.0,8.0
51,2020/06/29,869.0,16424.0,10.0
52,2020/06/30,897.0,16522.0,8.0
53,2020/07/01,1006.0,16563.0,8.0
54,2020/07/02,1105.0,16654.0,7.0
55,2020/07/03,1224.0,16747.0,7.0
56,2020/07/04,1386.0,16838.0,26.0
57,2020/07/05,1552.0,16892.0,11.0
58,2020/07/06,1671.0,16981.0,11.0
59,2020/07/07,1721.0,17115.0,9.0
60,2020/07/08,1776.0,17250.0,11.0
61,2020/07/09,1929.0,17436.0,14.0
62,2020/07/10,2139.0,17633.0,14.0
63,2020/07/11,2339.0,17787.0,11.0
64,2020/07/12,2587.0,17887.0,9.0
65,2020/07/13,2754.0,18066.0,17.0
66,2020/07/14,2789.0,18312.0,15.0
67,2020/07/15,2885.0,18580.0,11.0
68,2020/07/16,3191.0,18862.0,32.0
69,2020/07/17,3560.0,19132.0,20.0
70,2020/07/18,3865.0,19342.0,12.0
71,2020/07/19,4113.0,19523.0,14.0
72,2020/07/20,4345.0,19921.0,16.0
73,2020/07/21,4421.0,20403.0,7.0
