,date,positive
0,2020/01/26,1.0
1,2020/01/27,0.0
2,2020/01/28,3.0
3,2020/01/29,1.0
4,2020/01/30,3.0
5,2020/01/31,0.0
6,2020/02/01,0.0
7,2020/02/02,0.0
8,2020/02/03,0.0
9,2020/02/04,1.0
10,2020/02/05,2.0
11,2020/02/06,0.0
12,2020/02/07,0.0
13,2020/02/08,0.0
14,2020/02/09,0.0
15,2020/02/10,0.0
16,2020/02/11,1.0
17,2020/02/12,1.0
18,2020/02/13,3.0
19,2020/02/14,5.0
20,2020/02/15,4.0
21,2020/02/16,1.0
22,2020/02/17,6.0
23,2020/02/18,8.0
24,2020/02/19,9.0
25,2020/02/20,8.0
26,2020/02/21,13.0
27,2020/02/22,23.0
28,2020/02/23,10.0
29,2020/02/24,16.0
30,2020/02/25,8.0
31,2020/02/26,22.0
32,2020/02/27,24.0
33,2020/02/28,19.0
34,2020/02/29,9.0
35,2020/03/01,14.0
36,2020/03/02,14.0
37,2020/03/03,22.0
38,2020/03/04,34.0
39,2020/03/05,33.0
40,2020/03/06,54.0
41,2020/03/07,44.0
42,2020/03/08,35.0
43,2020/03/09,27.0
44,2020/03/10,60.0
45,2020/03/11,52.0
46,2020/03/12,55.0
47,2020/03/13,34.0
48,2020/03/14,62.0
49,2020/03/15,29.0
50,2020/03/16,16.0
51,2020/03/17,45.0
52,2020/03/18,39.0
53,2020/03/19,39.0
54,2020/03/20,52.0
55,2020/03/21,35.0
56,2020/03/22,45.0
57,2020/03/23,39.0
58,2020/03/24,89.0
59,2020/03/25,93.0
60,2020/03/26,93.0
61,2020/03/27,96.0
62,2020/03/28,222.0
63,2020/03/29,151.0
64,2020/03/30,80.0
65,2020/03/31,227.0
66,2020/04/01,257.0
67,2020/04/02,281.0
68,2020/04/03,353.0
69,2020/04/04,365.0
70,2020/04/05,346.0
71,2020/04/06,248.0
72,2020/04/07,365.0
73,2020/04/08,522.0
74,2020/04/09,574.0
75,2020/04/10,640.0
76,2020/04/11,644.0
77,2020/04/12,486.0
78,2020/04/13,387.0
79,2020/04/14,446.0
80,2020/04/15,552.0
81,2020/04/16,558.0
82,2020/04/17,572.0
83,2020/04/18,577.0
84,2020/04/19,377.0
85,2020/04/20,346.0
86,2020/04/21,389.0
