,date,positive,tested,death_total,death,severe,cases,recovery_total,certificate,recovery
0,2020/01/26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020/01/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020/01/28,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020/01/29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020/01/30,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020/01/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020/02/01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020/02/02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020/02/03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020/02/04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020/02/05,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020/02/06,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020/02/07,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020/02/08,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020/02/09,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020/02/10,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020/02/11,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020/02/12,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020/02/13,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020/02/14,5.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020/02/15,4.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020/02/16,1.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020/02/17,6.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020/02/18,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020/02/19,9.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
