,Date,Prefecture,Deaths(Cumulative)
0,2020/5/9,ALL,613
1,2020/5/9,Hokkaido,48
2,2020/5/9,Aomori,0
3,2020/5/9,Iwate,0
4,2020/5/9,Miyagi,1
5,2020/5/9,Akita,0
6,2020/5/9,Yamagata,0
7,2020/5/9,Fukushima,0
8,2020/5/9,Ibaraki,9
9,2020/5/9,Tochigi,0
10,2020/5/9,Gunma,18
11,2020/5/9,Saitama,41
12,2020/5/9,Chiba,39
13,2020/5/9,Tokyo,180
14,2020/5/9,Kanagawa,47
15,2020/5/9,Niigata,0
16,2020/5/9,Toyama,13
17,2020/5/9,Ishikawa,16
18,2020/5/9,Fukui,8
19,2020/5/9,Yamanashi,0
20,2020/5/9,Nagano,0
21,2020/5/9,Gifu,6
22,2020/5/9,Shizuoka,1
23,2020/5/9,Aichi,34
24,2020/5/9,Mie,1
25,2020/5/9,Shiga,1
26,2020/5/9,Kyoto,13
27,2020/5/9,Osaka,59
28,2020/5/9,Hyogo,32
29,2020/5/9,Nara,2
30,2020/5/9,Wakayama,2
31,2020/5/9,Tottori,0
32,2020/5/9,Shimane,0
33,2020/5/9,Okayama,0
34,2020/5/9,Hiroshima,2
35,2020/5/9,Yamaguchi,0
36,2020/5/9,Tokushima,0
37,2020/5/9,Kagawa,0
38,2020/5/9,Ehime,3
39,2020/5/9,Kochi,3
40,2020/5/9,Fukuoka,24
41,2020/5/9,Saga,0
42,2020/5/9,Nagasaki,1
43,2020/5/9,Kumamoto,3
44,2020/5/9,Oita,1
45,2020/5/9,Miyazaki,0
46,2020/5/9,Kagoshima,0
47,2020/5/9,Okinawa,5
48,2020/5/10,ALL,621
49,2020/5/10,Hokkaido,51
50,2020/5/10,Aomori,0
51,2020/5/10,Iwate,0
52,2020/5/10,Miyagi,1
53,2020/5/10,Akita,0
54,2020/5/10,Yamagata,0
55,2020/5/10,Fukushima,0
56,2020/5/10,Ibaraki,9
57,2020/5/10,Tochigi,0
58,2020/5/10,Gunma,18
59,2020/5/10,Saitama,42
60,2020/5/10,Chiba,40
61,2020/5/10,Tokyo,180
62,2020/5/10,Kanagawa,47
63,2020/5/10,Niigata,0
64,2020/5/10,Toyama,13
65,2020/5/10,Ishikawa,16
66,2020/5/10,Fukui,8
67,2020/5/10,Yamanashi,0
68,2020/5/10,Nagano,0
69,2020/5/10,Gifu,6
70,2020/5/10,Shizuoka,1
71,2020/5/10,Aichi,34
72,2020/5/10,Mie,1
73,2020/5/10,Shiga,1
74,2020/5/10,Kyoto,13
75,2020/5/10,Osaka,59
76,2020/5/10,Hyogo,34
77,2020/5/10,Nara,2
78,2020/5/10,Wakayama,2
79,2020/5/10,Tottori,0
80,2020/5/10,Shimane,0
81,2020/5/10,Okayama,0
82,2020/5/10,Hiroshima,2
83,2020/5/10,Yamaguchi,0
84,2020/5/10,Tokushima,1
85,2020/5/10,Kagawa,0
86,2020/5/10,Ehime,3
87,2020/5/10,Kochi,3
88,2020/5/10,Fukuoka,24
89,2020/5/10,Saga,0
90,2020/5/10,Nagasaki,1
91,2020/5/10,Kumamoto,3
92,2020/5/10,Oita,1
93,2020/5/10,Miyazaki,0
94,2020/5/10,Kagoshima,0
95,2020/5/10,Okinawa,5
96,2020/5/11,ALL,643
97,2020/5/11,Hokkaido,56
98,2020/5/11,Aomori,0
99,2020/5/11,Iwate,0
100,2020/5/11,Miyagi,1
101,2020/5/11,Akita,0
102,2020/5/11,Yamagata,0
103,2020/5/11,Fukushima,0
104,2020/5/11,Ibaraki,9
105,2020/5/11,Tochigi,0
106,2020/5/11,Gunma,18
107,2020/5/11,Saitama,42
108,2020/5/11,Chiba,40
109,2020/5/11,Tokyo,189
110,2020/5/11,Kanagawa,50
111,2020/5/11,Niigata,0
112,2020/5/11,Toyama,14
113,2020/5/11,Ishikawa,17
114,2020/5/11,Fukui,8
115,2020/5/11,Yamanashi,0
116,2020/5/11,Nagano,0
117,2020/5/11,Gifu,6
118,2020/5/11,Shizuoka,1
119,2020/5/11,Aichi,34
120,2020/5/11,Mie,1
121,2020/5/11,Shiga,1
122,2020/5/11,Kyoto,13
123,2020/5/11,Osaka,61
124,2020/5/11,Hyogo,34
125,2020/5/11,Nara,2
126,2020/5/11,Wakayama,3
127,2020/5/11,Tottori,0
128,2020/5/11,Shimane,0
129,2020/5/11,Okayama,0
130,2020/5/11,Hiroshima,2
131,2020/5/11,Yamaguchi,0
132,2020/5/11,Tokushima,1
133,2020/5/11,Kagawa,0
134,2020/5/11,Ehime,3
135,2020/5/11,Kochi,3
136,2020/5/11,Fukuoka,24
137,2020/5/11,Saga,0
138,2020/5/11,Nagasaki,1
139,2020/5/11,Kumamoto,3
140,2020/5/11,Oita,1
141,2020/5/11,Miyazaki,0
142,2020/5/11,Kagoshima,0
143,2020/5/11,Okinawa,5
144,2020/5/12,ALL,668
145,2020/5/12,Hokkaido,62
146,2020/5/12,Aomori,0
147,2020/5/12,Iwate,0
148,2020/5/12,Miyagi,1
149,2020/5/12,Akita,0
150,2020/5/12,Yamagata,0
151,2020/5/12,Fukushima,0
152,2020/5/12,Ibaraki,9
153,2020/5/12,Tochigi,0
154,2020/5/12,Gunma,18
155,2020/5/12,Saitama,43
156,2020/5/12,Chiba,40
157,2020/5/12,Tokyo,196
158,2020/5/12,Kanagawa,57
159,2020/5/12,Niigata,0
160,2020/5/12,Toyama,15
161,2020/5/12,Ishikawa,19
162,2020/5/12,Fukui,8
163,2020/5/12,Yamanashi,0
164,2020/5/12,Nagano,0
165,2020/5/12,Gifu,6
166,2020/5/12,Shizuoka,1
167,2020/5/12,Aichi,34
168,2020/5/12,Mie,1
169,2020/5/12,Shiga,1
170,2020/5/12,Kyoto,13
171,2020/5/12,Osaka,61
172,2020/5/12,Hyogo,34
173,2020/5/12,Nara,2
174,2020/5/12,Wakayama,3
175,2020/5/12,Tottori,0
176,2020/5/12,Shimane,0
177,2020/5/12,Okayama,0
178,2020/5/12,Hiroshima,2
179,2020/5/12,Yamaguchi,0
180,2020/5/12,Tokushima,1
181,2020/5/12,Kagawa,0
182,2020/5/12,Ehime,3
183,2020/5/12,Kochi,3
184,2020/5/12,Fukuoka,24
185,2020/5/12,Saga,0
186,2020/5/12,Nagasaki,1
187,2020/5/12,Kumamoto,3
188,2020/5/12,Oita,1
189,2020/5/12,Miyazaki,0
190,2020/5/12,Kagoshima,0
191,2020/5/12,Okinawa,6
192,2020/5/13,ALL,687
193,2020/5/13,Hokkaido,68
194,2020/5/13,Aomori,0
