,date,recovery_total
0,2020-01-29,1
1,2020-01-30,1
2,2020-01-31,1
3,2020-02-01,1
4,2020-02-02,1
5,2020-02-03,1
6,2020-02-04,1
7,2020-02-05,4
8,2020-02-06,4
9,2020-02-07,6
10,2020-02-08,9
11,2020-02-09,9
12,2020-02-10,9
13,2020-02-11,10
14,2020-02-12,11
15,2020-02-13,11
16,2020-02-14,12
17,2020-02-15,12
18,2020-02-16,13
19,2020-02-17,12
20,2020-02-18,14
21,2020-02-19,16
22,2020-02-20,16
23,2020-02-21,16
24,2020-02-22,17
25,2020-02-23,17
26,2020-02-24,18
27,2020-02-25,23
28,2020-02-26,23
29,2020-02-27,30
30,2020-02-28,30
31,2020-02-29,31
32,2020-03-01,31
33,2020-03-02,32
34,2020-03-03,35
35,2020-03-04,37
36,2020-03-05,38
37,2020-03-06,56
38,2020-03-07,63
39,2020-03-08,67
40,2020-03-09,88
41,2020-03-10,89
42,2020-03-11,103
43,2020-03-12,108
44,2020-03-13,120
45,2020-03-14,129
46,2020-03-15,142
47,2020-03-16,149
48,2020-03-17,156
49,2020-03-18,176
50,2020-03-19,200
51,2020-03-20,212
52,2020-03-21,217
53,2020-03-22,257
54,2020-03-23,270
55,2020-03-24,285
56,2020-03-25,294
57,2020-03-26,343
58,2020-03-27,356
59,2020-03-28,388
60,2020-03-29,408
61,2020-03-30,408
62,2020-03-31,408
63,2020-04-01,456
64,2020-04-02,489
65,2020-04-03,498
66,2020-04-04,559
67,2020-04-05,568
68,2020-04-06,575
69,2020-04-07,605
70,2020-04-08,615
71,2020-04-09,668
72,2020-04-10,697
73,2020-04-11,745
74,2020-04-12,767
75,2020-04-13,782
76,2020-04-14,836
77,2020-04-15,884
78,2020-04-16,918
79,2020-04-17,995
80,2020-04-18,1052
81,2020-04-19,1142
82,2020-04-20,1222
83,2020-04-21,1339
84,2020-04-22,2023
85,2020-04-23,2391
86,2020-04-24,2519
87,2020-04-25,2645
88,2020-04-26,2798
89,2020-04-27,2888
90,2020-04-28,3170
91,2020-04-29,3357
92,2020-04-30,3449
93,2020-05-01,3964
94,2020-05-02,4194
95,2020-05-03,4368
96,2020-05-04,4479
97,2020-05-05,4570
98,2020-05-06,4901
99,2020-05-07,5129
100,2020-05-08,8110
101,2020-05-09,8276
102,2020-05-10,8514
103,2020-05-11,8903
104,2020-05-12,9851
105,2020-05-13,10321
106,2020-05-14,10792
107,2020-05-15,11136
108,2020-05-16,11398
109,2020-05-17,11547
110,2020-05-18,11867
111,2020-05-19,12269
112,2020-05-20,12655
113,2020-05-21,12988
114,2020-05-22,13227
115,2020-05-23,13396
116,2020-05-24,13446
