,Date,Prefecture,Requiring inpatient care,Discharged from hospital or released from treatment,To be confirmed
0,2020/5/9,ALL,6250,8276,442
1,2020/5/9,Hokkaido,462,424,0
2,2020/5/9,Aomori,0,17,10
3,2020/5/9,Iwate,0,0,0
4,2020/5/9,Miyagi,8,79,0
5,2020/5/9,Akita,0,0,16
6,2020/5/9,Yamagata,13,56,0
7,2020/5/9,Fukushima,36,45,0
8,2020/5/9,Ibaraki,71,78,10
9,2020/5/9,Tochigi,0,25,29
10,2020/5/9,Gunma,65,64,0
11,2020/5/9,Saitama,396,525,0
12,2020/5/9,Chiba,224,448,168
13,2020/5/9,Tokyo,2514,2152,0
14,2020/5/9,Kanagawa,458,645,8
15,2020/5/9,Niigata,36,46,0
16,2020/5/9,Toyama,134,69,0
17,2020/5/9,Ishikawa,131,130,0
18,2020/5/9,Fukui,21,93,0
19,2020/5/9,Yamanashi,8,48,0
20,2020/5/9,Nagano,37,37,0
21,2020/5/9,Gifu,30,114,0
22,2020/5/9,Shizuoka,26,46,0
23,2020/5/9,Aichi,115,339,3
24,2020/5/9,Mie,12,32,0
25,2020/5/9,Shiga,31,65,0
26,2020/5/9,Kyoto,107,227,0
27,2020/5/9,Osaka,672,990,11
28,2020/5/9,Hyogo,185,463,8
29,2020/5/9,Nara,22,66,0
30,2020/5/9,Wakayama,12,48,0
31,2020/5/9,Tottori,2,1,0
32,2020/5/9,Shimane,0,11,13
33,2020/5/9,Okayama,8,15,1
34,2020/5/9,Hiroshima,89,74,0
35,2020/5/9,Yamaguchi,4,33,0
36,2020/5/9,Tokushima,0,3,2
37,2020/5/9,Kagawa,15,13,0
38,2020/5/9,Ehime,7,38,0
39,2020/5/9,Kochi,10,61,0
40,2020/5/9,Fukuoka,178,451,0
41,2020/5/9,Saga,22,21,2
42,2020/5/9,Kumamoto,27,18,0
43,2020/5/9,Oita,0,51,8
44,2020/5/9,Miyazaki,5,12,0
45,2020/5/9,Kagoshima,0,7,4
46,2020/5/9,Okinawa,55,82,0
47,2020/5/10,ALL,6074,8514,422
48,2020/5/10,Hokkaido,450,444,0
49,2020/5/10,Aomori,0,17,10
50,2020/5/10,Iwate,0,0,0
51,2020/5/10,Miyagi,7,80,0
52,2020/5/10,Akita,0,0,16
53,2020/5/10,Yamagata,11,58,0
54,2020/5/10,Fukushima,36,45,0
55,2020/5/10,Ibaraki,71,78,10
56,2020/5/10,Tochigi,0,32,24
57,2020/5/10,Gunma,63,66,0
58,2020/5/10,Saitama,377,548,0
59,2020/5/10,Chiba,217,467,156
60,2020/5/10,Tokyo,2518,2170,0
61,2020/5/10,Kanagawa,458,645,0
62,2020/5/10,Niigata,35,47,0
