,date,severe
0,2020/05/09,267.0
1,2020/05/10,249.0
2,2020/05/11,243.0
3,2020/05/12,259.0
4,2020/05/13,245.0
5,2020/05/14,237.0
6,2020/05/15,232.0
7,2020/05/16,230.0
8,2020/05/17,228.0
9,2020/05/18,213.0
10,2020/05/19,210.0
11,2020/05/20,195.0
12,2020/05/21,176.0
13,2020/05/22,174.0
14,2020/05/23,168.0
15,2020/05/24,165.0
16,2020/05/25,155.0
17,2020/05/26,147.0
18,2020/05/27,136.0
19,2020/05/28,131.0
20,2020/05/29,123.0
21,2020/05/30,119.0
22,2020/05/31,115.0
23,2020/06/01,113.0
24,2020/06/02,101.0
25,2020/06/03,102.0
26,2020/06/04,98.0
27,2020/06/05,99.0
28,2020/06/06,98.0
29,2020/06/07,99.0
30,2020/06/08,92.0
31,2020/06/09,91.0
32,2020/06/10,88.0
33,2020/06/11,82.0
34,2020/06/12,76.0
35,2020/06/13,73.0
36,2020/06/14,71.0
37,2020/06/15,80.0
38,2020/06/16,70.0
39,2020/06/17,62.0
40,2020/06/18,62.0
41,2020/06/19,61.0
42,2020/06/20,59.0
43,2020/06/21,59.0
44,2020/06/22,62.0
45,2020/06/23,60.0
46,2020/06/24,58.0
47,2020/06/25,51.0
48,2020/06/26,48.0
49,2020/06/27,45.0
50,2020/06/28,43.0
51,2020/06/29,42.0
52,2020/06/30,40.0
53,2020/07/01,37.0
54,2020/07/02,33.0
55,2020/07/03,32.0
56,2020/07/04,33.0
57,2020/07/05,34.0
58,2020/07/06,36.0
59,2020/07/07,35.0
60,2020/07/08,38.0
61,2020/07/09,31.0
62,2020/07/10,33.0
63,2020/07/11,32.0
64,2020/07/12,34.0
65,2020/07/13,40.0
66,2020/07/14,38.0
67,2020/07/15,37.0
68,2020/07/16,39.0
69,2020/07/17,41.0
70,2020/07/18,43.0
71,2020/07/19,47.0
72,2020/07/20,52.0
73,2020/07/21,55.0
74,2020/07/22,59.0
75,2020/07/23,68.0
76,2020/07/24,64.0
77,2020/07/25,66.0
78,2020/07/26,67.0
79,2020/07/27,76.0
80,2020/07/28,81.0
81,2020/07/29,90.0
82,2020/07/30,87.0
83,2020/07/31,80.0
84,2020/08/01,84.0
85,2020/08/02,83.0
86,2020/08/03,88.0
87,2020/08/04,104.0
88,2020/08/05,116.0
89,2020/08/06,132.0
90,2020/08/07,139.0
91,2020/08/08,156.0
92,2020/08/09,162.0
93,2020/08/10,171.0
94,2020/08/11,177.0
95,2020/08/12,203.0
96,2020/08/13,211.0
97,2020/08/14,229.0
98,2020/08/15,232.0
99,2020/08/16,242.0
100,2020/08/17,243.0
101,2020/08/18,239.0
102,2020/08/19,237.0
103,2020/08/20,247.0
104,2020/08/21,246.0
105,2020/08/22,258.0
106,2020/08/23,262.0
107,2020/08/24,255.0
108,2020/08/25,251.0
109,2020/08/26,243.0
110,2020/08/27,232.0
111,2020/08/28,233.0
112,2020/08/29,237.0
113,2020/08/30,239.0
114,2020/08/31,237.0
115,2020/09/01,228.0
116,2020/09/02,221.0
117,2020/09/03,217.0
118,2020/09/04,214.0
119,2020/09/05,215.0
120,2020/09/06,214.0
121,2020/09/07,207.0
122,2020/09/08,207.0
123,2020/09/09,202.0
124,2020/09/10,195.0
125,2020/09/11,194.0
126,2020/09/12,184.0
127,2020/09/13,190.0
128,2020/09/14,179.0
129,2020/09/15,183.0
130,2020/09/16,172.0
131,2020/09/17,176.0
132,2020/09/18,166.0
133,2020/09/19,165.0
134,2020/09/20,169.0
135,2020/09/21,169.0
136,2020/09/22,170.0
137,2020/09/23,170.0
138,2020/09/24,167.0
139,2020/09/25,160.0
140,2020/09/26,164.0
141,2020/09/27,163.0
142,2020/09/28,165.0
143,2020/09/29,155.0
144,2020/09/30,155.0
145,2020/10/01,149.0
146,2020/10/02,141.0
147,2020/10/03,137.0
148,2020/10/04,135.0
149,2020/10/05,144.0
150,2020/10/06,145.0
151,2020/10/07,147.0
152,2020/10/08,145.0
153,2020/10/09,151.0
154,2020/10/10,149.0
