,Date,Prefecture,Severe cases
0,2020/5/9,ALL,267
1,2020/5/9,Hokkaido,23
2,2020/5/9,Aomori,0
3,2020/5/9,Iwate,0
4,2020/5/9,Miyagi,0
5,2020/5/9,Akita,0
6,2020/5/9,Yamagata,0
7,2020/5/9,Fukushima,0
8,2020/5/9,Ibaraki,3
9,2020/5/9,Tochigi,0
10,2020/5/9,Gunma,2
11,2020/5/9,Saitama,10
12,2020/5/9,Chiba,12
13,2020/5/9,Tokyo,83
14,2020/5/9,Kanagawa,30
15,2020/5/9,Niigata,0
16,2020/5/9,Toyama,0
17,2020/5/9,Ishikawa,0
18,2020/5/9,Fukui,3
19,2020/5/9,Yamanashi,1
20,2020/5/9,Nagano,2
21,2020/5/9,Gifu,1
22,2020/5/9,Shizuoka,2
23,2020/5/9,Aichi,5
24,2020/5/9,Mie,0
25,2020/5/9,Shiga,1
26,2020/5/9,Kyoto,0
27,2020/5/9,Osaka,56
28,2020/5/9,Hyogo,23
29,2020/5/9,Nara,0
30,2020/5/9,Wakayama,0
31,2020/5/9,Tottori,0
32,2020/5/9,Shimane,0
33,2020/5/9,Okayama,0
34,2020/5/9,Hiroshima,0
35,2020/5/9,Yamaguchi,0
36,2020/5/9,Tokushima,0
37,2020/5/9,Kagawa,0
38,2020/5/9,Ehime,2
39,2020/5/9,Kochi,0
40,2020/5/9,Fukuoka,0
41,2020/5/9,Saga,1
42,2020/5/9,Nagasaki,0
43,2020/5/9,Kumamoto,2
44,2020/5/9,Oita,0
45,2020/5/9,Miyazaki,0
46,2020/5/9,Kagoshima,0
47,2020/5/9,Okinawa,5
48,2020/5/10,ALL,249
49,2020/5/10,Hokkaido,28
50,2020/5/10,Aomori,0
51,2020/5/10,Iwate,0
52,2020/5/10,Miyagi,0
53,2020/5/10,Akita,0
54,2020/5/10,Yamagata,0
55,2020/5/10,Fukushima,0
56,2020/5/10,Ibaraki,3
57,2020/5/10,Tochigi,0
58,2020/5/10,Gunma,2
59,2020/5/10,Saitama,11
60,2020/5/10,Chiba,12
61,2020/5/10,Tokyo,71
62,2020/5/10,Kanagawa,30
63,2020/5/10,Niigata,0
64,2020/5/10,Toyama,0
65,2020/5/10,Ishikawa,0
66,2020/5/10,Fukui,2
67,2020/5/10,Yamanashi,1
68,2020/5/10,Nagano,2
69,2020/5/10,Gifu,1
70,2020/5/10,Shizuoka,2
71,2020/5/10,Aichi,0
