,date,count_first_or_mid_general,count_second_or_full_general
0,2021-04-12,4857,0
1,2021-04-13,4324,0
2,2021-04-14,5311,0
3,2021-04-15,9490,0
4,2021-04-16,12106,0
5,2021-04-17,8876,0
6,2021-04-18,9000,0
7,2021-04-19,38071,0
8,2021-04-20,57902,0
9,2021-04-21,69527,0
10,2021-04-22,67403,0
11,2021-04-23,65041,0
12,2021-04-24,43013,0
13,2021-04-25,26420,0
14,2021-04-26,69374,0
15,2021-04-27,90675,0
16,2021-04-28,99259,0
17,2021-04-29,21841,0
18,2021-04-30,76220,0
19,2021-05-01,46340,0
20,2021-05-02,25899,0
21,2021-05-03,7442,871
22,2021-05-04,8423,769
23,2021-05-05,9804,954
24,2021-05-06,48072,8375
25,2021-05-07,49297,10752
26,2021-05-08,62561,7800
27,2021-05-09,74375,8324
28,2021-05-10,105060,29783
29,2021-05-11,130085,45650
30,2021-05-12,160638,54616
31,2021-05-13,157042,54307
32,2021-05-14,135679,50979
33,2021-05-15,137859,37025
34,2021-05-16,186916,22546
35,2021-05-17,209474,55143
36,2021-05-18,251165,70682
37,2021-05-19,305570,75244
38,2021-05-20,319363,28026
39,2021-05-21,277348,62797
40,2021-05-22,283062,46709
41,2021-05-23,325026,25333
42,2021-05-24,443958,10524
43,2021-05-25,513182,11212
44,2021-05-26,570133,12701
45,2021-05-27,549401,45405
46,2021-05-28,525044,46085
47,2021-05-29,471040,59631
48,2021-05-30,460548,65400
49,2021-05-31,530191,94485
50,2021-06-01,637393,110581
51,2021-06-02,657297,138074
52,2021-06-03,660697,135801
53,2021-06-04,644287,115913
54,2021-06-05,611291,125138
55,2021-06-06,559282,178429
56,2021-06-07,655323,184851
57,2021-06-08,710345,225404
58,2021-06-09,693700,277525
59,2021-06-10,679363,293353
60,2021-06-11,684959,259261
61,2021-06-12,649566,270387
62,2021-06-13,591649,314411
63,2021-06-14,590252,407404
64,2021-06-15,635575,471172
65,2021-06-16,615789,523288
66,2021-06-17,623069,509571
67,2021-06-18,603655,487001
68,2021-06-19,644992,435543
69,2021-06-20,645756,435042
70,2021-06-21,643099,496055
71,2021-06-22,666863,597322
72,2021-06-23,668851,616703
73,2021-06-24,654836,619193
74,2021-06-25,635444,611591
75,2021-06-26,689484,581616
76,2021-06-27,723291,536979
77,2021-06-28,619549,630511
78,2021-06-29,661838,688421
79,2021-06-30,691443,684304
80,2021-07-01,492569,649452
81,2021-07-02,438338,660628
82,2021-07-03,755324,616334
83,2021-07-04,742540,553794
84,2021-07-05,761917,583953
85,2021-07-06,802499,624219
86,2021-07-07,837750,604961
87,2021-07-08,815844,603685
88,2021-07-09,814918,599996
89,2021-07-10,868873,631428
90,2021-07-11,651788,643905
91,2021-07-12,646356,620118
92,2021-07-13,697167,637467
93,2021-07-14,692879,642572
94,2021-07-15,673326,624301
95,2021-07-16,695206,607467
96,2021-07-17,703956,657652
97,2021-07-18,533204,679624
98,2021-07-19,359777,595724
99,2021-07-20,614469,647266
100,2021-07-21,584751,682467
101,2021-07-22,254076,311453
102,2021-07-23,193949,236674
103,2021-07-24,387246,776420
104,2021-07-25,355513,724084
105,2021-07-26,442008,779110
106,2021-07-27,495948,792218
107,2021-07-28,496721,812281
108,2021-07-29,497698,788880
109,2021-07-30,519096,788305
110,2021-07-31,563308,842099
111,2021-08-01,501497,582612
112,2021-08-02,477061,594004
113,2021-08-03,492420,618447
114,2021-08-04,484383,608542
115,2021-08-05,470977,589399
116,2021-08-06,474618,603346
117,2021-08-07,604630,630157
118,2021-08-08,543823,469669
119,2021-08-09,137129,125873
120,2021-08-10,364985,510485
121,2021-08-11,361397,429730
122,2021-08-12,330074,212835
123,2021-08-13,206289,123633
124,2021-08-14,186657,168997
