,date,tested
0,2020/02/05,4.0
1,2020/02/06,19.0
2,2020/02/07,9.0
3,2020/02/08,4.0
4,2020/02/09,10.0
5,2020/02/10,12.0
6,2020/02/11,4.0
7,2020/02/12,10.0
8,2020/02/13,16.0
9,2020/02/14,43.0
10,2020/02/15,86.0
11,2020/02/16,65.0
12,2020/02/17,113.0
13,2020/02/18,9.0
14,2020/02/19,71.0
15,2020/02/20,90.0
16,2020/02/21,85.0
17,2020/02/22,96.0
18,2020/02/23,39.0
19,2020/02/24,104.0
20,2020/02/25,44.0
21,2020/02/26,168.0
22,2020/02/27,151.0
23,2020/02/28,130.0
24,2020/02/29,178.0
25,2020/03/01,96.0
26,2020/03/02,71.0
27,2020/03/03,153.0
28,2020/03/04,3940.0
29,2020/03/05,699.0
30,2020/03/06,553.0
31,2020/03/07,147.0
32,2020/03/08,110.0
33,2020/03/09,1314.0
34,2020/03/10,424.0
35,2020/03/11,181.0
36,2020/03/12,1855.0
37,2020/03/13,859.0
38,2020/03/14,107.0
39,2020/03/15,42.0
40,2020/03/16,2083.0
41,2020/03/17,203.0
42,2020/03/19,3490.0
43,2020/03/20,119.0
44,2020/03/21,132.0
45,2020/03/22,56.0
46,2020/03/23,3862.0
47,2020/03/25,674.0
48,2020/03/26,1805.0
49,2020/03/27,1442.0
50,2020/03/28,296.0
51,2020/03/29,206.0
52,2020/03/30,3481.0
53,2020/03/31,1914.0
54,2020/04/02,4685.0
55,2020/04/03,3305.0
56,2020/04/04,271.0
57,2020/04/05,218.0
58,2020/04/06,7876.0
59,2020/04/07,4544.0
60,2020/04/08,1383.0
61,2020/04/09,2841.0
62,2020/04/10,5389.0
63,2020/04/11,1644.0
64,2020/04/12,57.0
65,2020/04/13,9252.0
66,2020/04/14,8255.0
67,2020/04/15,693.0
68,2020/04/16,5325.0
69,2020/04/17,4149.0
70,2020/04/18,1004.0
71,2020/04/19,2953.0
72,2020/04/20,6816.0
73,2020/04/21,5542.0
74,2020/04/22,4415.0
75,2020/04/23,5349.0
76,2020/04/24,5187.0
77,2020/04/25,1250.0
78,2020/04/26,1136.0
79,2020/04/27,8545.0
80,2020/04/28,3244.0
81,2020/04/29,879.0
82,2020/04/30,8126.0
83,2020/05/01,6820.0
84,2020/05/02,880.0
85,2020/05/03,1012.0
86,2020/05/04,1332.0
87,2020/05/05,1569.0
88,2020/05/06,447.0
89,2020/05/07,13005.0
90,2020/05/08,10680.0
91,2020/05/09,2265.0
92,2020/05/10,3995.0
93,2020/05/11,5993.0
94,2020/05/12,288.0
95,2020/05/13,10074.0
96,2020/05/14,5866.0
97,2020/05/15,3092.0
98,2020/05/16,4337.0
99,2020/05/17,4987.0
100,2020/05/18,5980.0
101,2020/05/19,3221.0
102,2020/05/20,3669.0
103,2020/05/21,4580.0
104,2020/05/22,3495.0
105,2020/05/23,2769.0
106,2020/05/24,1252.0
107,2020/05/25,3620.0
108,2020/05/26,2994.0
109,2020/05/27,3004.0
110,2020/05/28,3981.0
111,2020/05/29,3501.0
112,2020/05/30,2652.0
113,2020/05/31,1657.0
114,2020/06/01,3789.0
115,2020/06/02,4526.0
116,2020/06/03,3979.0
117,2020/06/04,4600.0
118,2020/06/05,4939.0
119,2020/06/06,3220.0
120,2020/06/07,1725.0
121,2020/06/08,4516.0
122,2020/06/09,4600.0
123,2020/06/10,5092.0
124,2020/06/11,4573.0
125,2020/06/12,5145.0
126,2020/06/13,2633.0
127,2020/06/14,1451.0
128,2020/06/15,4300.0
129,2020/06/16,4462.0
130,2020/06/17,1348.0
131,2020/06/18,6176.0
132,2020/06/19,4823.0
133,2020/06/20,2474.0
134,2020/06/21,4127.0
135,2020/06/22,5376.0
136,2020/06/23,3722.0
137,2020/06/24,4979.0
138,2020/06/25,4455.0
139,2020/06/26,4758.0
140,2020/06/27,3533.0
141,2020/06/28,1513.0
142,2020/06/29,5510.0
143,2020/06/30,4651.0
144,2020/07/01,6564.0
145,2020/07/02,5460.0
146,2020/07/03,6597.0
147,2020/07/04,3134.0
148,2020/07/05,2618.0
149,2020/07/06,8228.0
150,2020/07/07,7099.0
151,2020/07/08,7725.0
152,2020/07/09,7700.0
153,2020/07/10,8955.0
154,2020/07/11,5362.0
155,2020/07/12,1838.0
156,2020/07/13,10552.0
157,2020/07/14,11154.0
158,2020/07/15,11343.0
159,2020/07/16,16683.0
160,2020/07/17,12994.0
161,2020/07/18,7166.0
162,2020/07/19,3262.0
163,2020/07/20,15959.0
164,2020/07/21,12114.0
165,2020/07/22,16357.0
